,calories,time,link,name,description,query,ingredients,macros
0,297 ккал,3 ч 20 мин,https://1000.menu/cooking/43048-domashnii-klassicheskii-tiramisu,Домашний классический тирамису,"Без выпечки, на праздничный стол, тает во рту!",тирамису,"['Печенье Савоярди - 200 гр', 'Кофе - 1 стак.', 'Какао - 70 гр', 'Коньяк - 1 стол.л.', 'Маскарпоне - 250 гр', 'Сахар - 75 гр', 'Яйца - 2 шт.', 'Ванильный экстракт - 0.5 чайн.л.', 'Соль -  по вкусу']","['Белки 19%', 'Жиры 28%', 'Углеводы 53%']"
1,248 ккал,40 мин,https://1000.menu/cooking/29056-pechene-dlya-tiramisu,Печенье для тирамису,"Нежное, хрустящее, очень вкусное. Просто тает во рту!",тирамису,"['Куриные яйца - 2 шт.', 'Сахар - 50 гр', 'Сахарная пудра - 30 гр', 'Пшеничная мука - 50 гр']","['Белки 12%', 'Жиры 8%', 'Углеводы 80%']"
2,303 ккал,20 мин,https://1000.menu/cooking/62244-tort-tiramisu-iz-pechenya-s-maskarpone-klassicheskii,Торт Тирамису из печенья с маскарпоне классический,"Просто, быстро, очень вкусно, просто тает во рту!",тирамису,"['Печенье Савоярди - 200 гр', 'Кофе - 0.1 л', 'Алкоголь - 6 стол.л.', 'Маскарпоне - 500 гр', 'Яйца - 4 шт.', 'Сахар - 6 стол.л.']","['Белки 14%', 'Жиры 38%', 'Углеводы 48%']"
3,379 ккал,10 мин,https://1000.menu/cooking/22299-krem-dlya-tiramisu-s-maskarpone-s-saxarnoi-pudroi-i-slivkami,Крем для тирамису с маскарпоне,"Такой нежный, что тает во рту! Для самых вкусных десертов!",тирамису,"['Маскарпоне - 250 гр', 'Сливки жирные - 170 гр', 'Яичные желтки - 2 шт.', 'Сахарная пудра - 40 гр']","['Белки 8%', 'Жиры 69%', 'Углеводы 24%']"
4,312 ккал,30 мин,https://1000.menu/cooking/71213-tiramisu-s-yaicami-i-maskarpone,Тирамису с яйцами и маскарпоне,Самый любимый десерт без выпечки - воздушный и легкий!,тирамису,"['Печенье Савоярди - 250 гр', 'Маскарпоне - 500 гр', 'Яйца - 4 шт.', 'Сахар - 150 гр', 'Кофе - 1 стак.', 'Какао - 2 стол.л.']","['Белки 15%', 'Жиры 35%', 'Углеводы 50%']"
5,337 ккал,30 мин,https://1000.menu/cooking/16344-tiramisu-bez-yaic,Тирамису без яиц с маскарпоне на скорую руку,"Невероятно нежное и воздушное, к чаю или кофе!",тирамису,"['Печенье Савоярди - 300 гр', 'Маскарпоне - 300 гр', 'Сливки жирные - 350 гр', 'Сахарная пудра - 4 стол.л.', 'Кофе - 150 гр', 'Коньяк - 1 стол.л.', 'Какао - 1 стол.л.']","['Белки 11%', 'Жиры 39%', 'Углеводы 50%']"
6,252 ккал,20 мин,https://1000.menu/cooking/35220-tiramisu-bez-maskarpone,Тирамису без маскарпоне,Восхитительно нежный популярный десерт. Невозможно устоять!,тирамису,"['Печенье Савоярди - 200 гр', 'Сливки жирные - 250 гр', 'Яйца - 2 шт.', 'Сахар - 0.5 стак.', 'Кофе растворимый - 1 чайн.л.', 'Вода - 1 стак.', 'Какао - 1 стол.л.', 'Соль -  по вкусу']","['Белки 11%', 'Жиры 26%', 'Углеводы 64%']"
7,278 ккал,30 мин,https://1000.menu/cooking/36634-tiramisu-so-slivkami-i-maskarpone,Тирамису со сливками и маскарпоне,Лёгкий и воздушный десерт для поднятия настроения!,тирамису,"['Печенье Савоярди - 200 гр', 'Сливки жирные - 200 мл', 'Маскарпоне - 250 гр', 'Сахарная пудра - 100 гр', 'Какао - 20 гр', 'Кофе - 2 стак.', 'Алкоголь - 1 стол.л.']","['Белки 17%', 'Жиры 35%', 'Углеводы 48%']"
8,286 ккал,30 мин,https://1000.menu/cooking/66230-desert-tiramisu-s-pechenem,Десерт тирамису с печеньем,"Оригинальный, быстро и просто готовить, вкуснейший!",тирамису,"['Печенье Савоярди - 250 гр', 'Яйца - 6 шт.', 'Маскарпоне - 500 гр', 'Сахар - 150 гр', 'Кофе - 0.3 л', 'Какао - 1 стол.л.']","['Белки 18%', 'Жиры 34%', 'Углеводы 48%']"
9,330 ккал,8 ч 45 мин,https://1000.menu/cooking/72003-tiramisu-iz-pechenya-bez-vypechki,Тирамису из печенья без выпечки,"Нежнейшее, ароматное, тает во рту, на праздничный стол!",тирамису,"['Печенье Савоярди - 200 гр', 'Яичные желтки - 6 шт.', 'Сахар - 150 гр', 'Алкоголь - 6 стол.л.', 'Маскарпоне - 340 гр', 'Сливки жирные - 240 гр', 'Кофе - 100 гр', 'Какао - 1 стол.л.']","['Белки 11%', 'Жиры 40%', 'Углеводы 49%']"
10,264 ккал,12 ч,https://1000.menu/cooking/90374-tiramisu-bez-pechenya-savoyardi,Тирамису без печенья Савоярди,Гости будут в восторге от такого торта - вкуснее не бывает!,тирамису,"['Яйца - 5 шт.', 'Сахар - 150 гр', 'Ванильный сахар - 2 чайн.л.', 'Пшеничная мука - 100 гр', 'Разрыхлитель - 1 чайн.л.', 'Маскарпоне - 500 гр', 'Яйца - 5 шт.', 'Сахар - 100 гр', 'Кофе - 2 чайн.л.', 'Вода - 200 мл', 'Какао - 1 стол.л.']","['Белки 16%', 'Жиры 36%', 'Углеводы 48%']"
11,336 ккал,15 мин,https://1000.menu/cooking/42458-pirojnoe-tiramisu-v-domashnix-usloviyax,Пирожное тирамису в домашних условиях,"Оригинально, вкусно, быстро, для праздников и будней!",тирамису,"['Печенье Савоярди - 100 гр', 'Маскарпоне - 50 гр', 'Кофе - 4 стол.л.', 'Сахар - 1 чайн.л.', 'Какао - 2 стол.л.', 'Горький шоколад - 50 гр']","['Белки 16%', 'Жиры 25%', 'Углеводы 59%']"
12,289 ккал,30 мин,https://1000.menu/cooking/20717-pechene-damskie-palchiki-dlya-tiramisu,Печенье Дамские пальчики для тирамису,"Оригинальные, пышные, тают во рту, вкуснейшие!",тирамису,"['Пшеничная мука - 250 гр', 'Яичные желтки - 10 шт.', 'Яичные белки - 7 шт.', 'Сахар - 270 гр', 'Разрыхлитель - 1.5 чайн.л.', 'Сахарная пудра - 2 чайн.л.']","['Белки 14%', 'Жиры 10%', 'Углеводы 76%']"
13,233 ккал,4 ч,https://1000.menu/cooking/22949-tiramisu-s-tvorogom,Тирамису с творогом,"Бюджетный, из обычных продуктов, на праздничный стол!",тирамису,"['Печенье Савоярди - 60 гр', 'Кофе - 150 гр', 'Коньяк - 3 чайн.л.', 'Палочка корицы - 1 шт.', 'Творог - 150 гр', 'Сахарная пудра - 90 гр', 'Темный шоколад - 50 гр', 'Яйца - 1 шт.', 'Соль -  по вкусу']","['Белки 23%', 'Жиры 17%', 'Углеводы 60%']"
14,271 ккал,30 мин,https://1000.menu/cooking/43147-tiramisu-v-stakane,Тирамису в стакане простой,Вкуснейший десерт тирамису в порционных стаканчиках,тирамису,"['Вода - 100 мл', 'Кофе растворимый - 2 чайн.л.', 'Яичные желтки - 1 шт.', 'Сахар - 18 гр', 'Ванильный сахар - 8 гр', 'Маскарпоне - 125 гр', 'Сливки жирные - 60 гр', 'Печенье Савоярди - 6 гр', 'Какао - 1 стол.л.']","['Белки 10%', 'Жиры 59%', 'Углеводы 31%']"
15,266 ккал,3 ч 20 мин,https://1000.menu/cooking/8050-klubnichnoe-tiramisu,Клубничное тирамису с маскарпоне десерт,Потрясающе вкусная и воздушная вариация на тему тирамису!,тирамису,"['Мягкий сыр - 350 гр', 'Сливки - 250 мл', 'Клубника - 300 гр', 'Сахар - 200 гр', 'Печенье Савоярди - 225 гр', 'Какао - 20 гр']","['Белки 14%', 'Жиры 32%', 'Углеводы 54%']"
16,141 ккал,10 мин,https://1000.menu/cooking/82861-pp-tiramisu-bez-vypechki,ПП тирамису без выпечки,Необычный вариант итальянского десерт - просто бомба!,тирамису,"['Хлебцы - 40 гр', 'Творог - 150 гр', 'Йогурт - 130 мл', 'Сахар - 1.5 стол.л.', 'Кофе - 1 стак.']","['Белки 43%', 'Жиры 18%', 'Углеводы 39%']"
17,279 ккал,30 мин,https://1000.menu/cooking/61564-tiramisu-s-vishnei-bez-yaic,Тирамису с вишней без яиц,"Легкий, нежный, тает во рту, не приторный, нарядный десерт!",тирамису,"['Сливки жирные - 150 мл', 'Маскарпоне - 130 гр', 'Сахарная пудра - 50 гр', 'Кофе молотый - 3 чайн.л.', 'Печенье Савоярди - 130 гр', 'Замороженная вишня - 180 гр', 'Коньяк - 2 чайн.л.']","['Белки 8%', 'Жиры 35%', 'Углеводы 56%']"
18,306 ккал,5 ч,https://1000.menu/cooking/50307-tiramisu-s-chaem-matcha,Тирамису с чаем матча,Известный сливочный десерт с японскими нотками!,тирамису,"['Яичные желтки - 3 шт.', 'Сахар - 70 гр', 'Вино десертное - 2 стол.л.', 'Маскарпоне - 250 гр', 'Сливки жирные - 360 гр', 'Вода - 0.5 стак.', 'Зеленый чай - 1.5 стол.л.', 'Печенье Савоярди - 200 гр', 'Зеленый чай - 2 стол.л.']","['Белки 8%', 'Жиры 46%', 'Углеводы 46%']"
19,201 ккал,30 мин,https://1000.menu/cooking/31106-traifly-tiramisu,Трайфлы тирамису,Идеальный итальянский десерт! Приготовь на радость близким!,тирамису,"['Коржи бисквитные - 400 гр', 'Готовый пудинг - 500 мл', 'Маскарпоне - 120 гр', 'Кофе - 0.25 л', 'Ром - 40 мл', 'Взбитые сливки - 250 мл', 'Какао - 15 гр']","['Белки 16%', 'Жиры 24%', 'Углеводы 61%']"
20,265 ккал,4 ч,https://1000.menu/cooking/28870-tiramisu-so-slivkami-i-biskvitnom-pechene-bez-syra,Тирамису со сливками и бисквитном печенье без сыра,Пробуй всеми любимый десерт в новом варианте исполнения,тирамису,"['Печенье бисквитное - 450 гр', 'Сливки - 500 мл', 'Куриные яйца - 5 шт.', 'Сахар - 200 гр', 'Кофе растворимый - 5 гр', 'Соль -  по вкусу', 'Вода - 200 мл', 'Какао - 5 гр']","['Белки 10%', 'Жиры 18%', 'Углеводы 72%']"
21,224 ккал,1 ч,https://1000.menu/cooking/25460-tiramisu-s-mango,Тирамису с манго,Один из самых удачных вариантов тирамису с манго.,тирамису,"['Печенье Савоярди - 100 гр', 'Кофе - 150 гр', 'Манго - 1 шт.', 'Коньяк - 1 стол.л.', 'Маскарпоне - 250 гр', 'Сахарная пудра - 80 гр', 'Яйца - 2 шт.', 'Соль - 1 гр']","['Белки 16%', 'Жиры 32%', 'Углеводы 53%']"
22,336 ккал,25 мин,https://1000.menu/cooking/25395-krem-dlya-tiramisu,Крем для тирамису с маскарпоне и яйцами,Крем на сырых яйцах для знаменитого итальянского десерта.,тирамису,"['Маскарпоне - 250 гр', 'Сахарная пудра - 80 гр', 'Яйца - 2 шт.', 'Соль - 1 гр']","['Белки 11%', 'Жиры 49%', 'Углеводы 40%']"
23,271 ккал,4 ч,https://1000.menu/cooking/86447-tiramisu-s-klubnikoi,Тирамису с клубникой,Легкий и освежающий десерт. Потрясающе вкусно!,тирамису,"['Клубника - 300 гр', 'Маскарпоне - 350 гр', 'Сливки жирные - 250 мл', 'Сахарная пудра - 150 гр', 'Кофе - 1 стак.', 'Печенье Савоярди - 200 гр', 'Ванильный экстракт - 5 мл', 'Какао - 4 стол.л.']","['Белки 13%', 'Жиры 35%', 'Углеводы 52%']"
24,198 ккал,1 ч 20 мин,https://1000.menu/cooking/10662-klubnichno-vanilnji-tiramisu,Клубнично-ванильный тирамису с молоком,"Удачный эксперимент, в основе которого лежит классическое тирамису",тирамису,"['Клубника - 200 гр', 'Крем - 50 гр', 'Коржи готовые - 300 гр', 'Мягкий сыр - 150 гр', 'Молоко - 250 мл', 'Йогурт - 2 стол.л.', 'Сливочное масло - 1 стол.л.', 'Сахар - 2 стол.л.', 'Шоколад - 10 гр', 'Мята -  по вкусу']","['Белки 14%', 'Жиры 28%', 'Углеводы 58%']"
25,341 ккал,1 ч 15 мин,https://1000.menu/cooking/962-klassicheskii-tiramisu,Домашний классический тирамису с маскарпоне,Воздушный десерт вознесет Вас на седьмое небо!,тирамису,"['Маскарпоне - 250 гр', 'Яйца - 2 шт.', 'Кофе - 50 гр', 'Печенье Савоярди - 400 гр', 'Шоколад - 50 гр', 'Коньяк - 4 стол.л.', 'Сливки - 100 мл', 'Сахарная пудра - 125 гр']","['Белки 10%', 'Жиры 24%', 'Углеводы 66%']"
26,299 ккал,25 мин,https://1000.menu/cooking/40373-tiramisu-na-konyake-s-vanilnym-ekstraktom,Тирамису на коньяке с ванильным экстрактом,"Один из моих любимых десертов, ТАЕТ ВО РТУ а не в руках))",тирамису,"['Кофе - 400 гр', 'Коньяк - 15 мл', 'Яичные желтки - 100 гр', 'Сахарная пудра - 100 гр', 'Маскарпоне - 500 гр', 'Ванильный экстракт - 1 чайн.л.', 'Яичные белки - 100 гр', 'Соль -  по вкусу', 'Печенье Савоярди - 500 гр']","['Белки 16%', 'Жиры 29%', 'Углеводы 55%']"
27,248 ккал,1 ч,https://1000.menu/cooking/28508-pechene-savoyardi-vozdushnoe-dlya-tiramisu,Печенье Савоярди воздушное для тирамису,"Савоярди - основа для десерта Тирамису, приготовь дома!",тирамису,"['Пшеничная мука - 60 гр', 'Яичные белки - 3 шт.', 'Яичные желтки - 2 шт.', 'Сахар - 60 гр', 'Сахарная пудра - 30 гр']","['Белки 14%', 'Жиры 7%', 'Углеводы 79%']"
28,236 ккал,4 ч,https://1000.menu/cooking/28507-tiramisu-dlya-detei-s-tvorogom-i-laimom-bez-yaic-i-alkogolya,"Тирамису для детей с творогом и лаймом, без яиц и алкоголя",Рецепт Тирамису для детей - без сырых яиц и алкоголя!,тирамису,"['Печенье Савоярди - 200 гр', 'Творог - 400 гр', 'Сливки - 500 мл', 'Сахар - 100 гр', 'Лайм - 1 шт.', 'Кофе - 200 гр', 'Какао - 2 стол.л.']","['Белки 24%', 'Жиры 27%', 'Углеводы 49%']"
29,278 ккал,4 ч 30 мин,https://1000.menu/cooking/24107-tiramisu-s-maskarpone-s-likerom,Тирамису с маскарпоне с ликером,"Потрясающе нежный, воздушный итальянский рецепт десерта!",тирамису,"['Маскарпоне - 250 гр', 'Печенье Савоярди - 150 гр', 'Яйца - 3 шт.', 'Сахарная пудра - 4 стол.л.', 'Какао - 4 стол.л.', 'Миндальный экстракт - 1 стол.л.', 'Кофе - 1 стак.']","['Белки 20%', 'Жиры 32%', 'Углеводы 48%']"
30,236 ккал,25 мин,https://1000.menu/cooking/23186-domashnee-pechene-dlya-tiramisu-s-maskarpone,Домашнее печенье для Тирамису с Маскарпоне,Нежное воздушное печенье из безе для любимого десерта!,тирамису,"['Яичные белки - 4 шт.', 'Яичные желтки - 3 шт.', 'Пшеничная мука - 80 гр', 'Сахар - 80 гр']","['Белки 17%', 'Жиры 9%', 'Углеводы 74%']"
31,310 ккал,35 мин,https://1000.menu/cooking/23128-tiramisu-s-maskarpone-i-sgushchennym-molokom,Тирамису с маскарпоне и сгущенным молоком,Итальянский многослойный сливочный десерт с ароматом кофе!,тирамису,"['Сгущенное молоко - 400 гр', 'Печенье Савоярди - 300 гр', 'Маскарпоне - 200 гр', 'Рикотта - 200 гр', 'Лимонный сок - 1 стол.л.', 'Кофе - 3 стол.л.', 'Какао - 1 стол.л.', 'Коньяк - 3 стол.л.', 'Сахар - 2 стол.л.']","['Белки 13%', 'Жиры 20%', 'Углеводы 67%']"
32,293 ккал,8 ч 40 мин,https://1000.menu/cooking/15627-tiramisu-ot-alekseya,Тирамису от Алексея с маскарпоне,Самый лучший десерт из всех возможных - пробуй!,тирамису,"['Печенье Савоярди - 300 гр', 'Кофе - 2 стак.', 'Коньяк - 30 мл', 'Маскарпоне - 500 гр', 'Куриные яйца - 3 шт.', 'Сахарная пудра - 250 гр', 'Сливки жирные - 250 мл', 'Какао - 30 гр', 'Ликер baileys - 30 мл']","['Белки 13%', 'Жиры 35%', 'Углеводы 52%']"
33,154 ккал,5 ч,https://1000.menu/cooking/4795-tort-tiramisu,Торт Тирамису,"Классическое лакомство, пронизанное духом Италии!",тирамису,"['Яйца - 6 шт.', 'Пшеничная мука - 0.5 стак.', 'Сахар - 0.75 стак.', 'Сахар - 6 стол.л.', 'Яйца - 6 шт.', 'Кофе - 1.4 л', 'Какао - 3 стол.л.', 'Творог - 750 гр', 'Ром - 6 стол.л.']","['Белки 45%', 'Жиры 21%', 'Углеводы 34%']"
34,304 ккал,1 ч 25 мин,https://1000.menu/cooking/2738-pirozhnoe-tiramisu,Сливочный десерт Тирамису в креманках,Сливочный десерт с потрясающими тонкими нотками кофейного ликера.,тирамису,"['Пшеничная мука - 100 гр', 'Маскарпоне - 250 гр', 'Фундук - 30 гр', 'Творог - 250 гр', 'Шоколад - 4 шт.', 'Разрыхлитель - 0.5 чайн.л.', 'Яйца - 3 шт.', 'Кофе - 40 гр', 'Кофейный ликер - 20 мл', 'Апельсины - 2 шт.', 'Сахар - 160 гр']","['Белки 13%', 'Жиры 33%', 'Углеводы 54%']"
35,322 ккал,1 ч 30 мин,https://1000.menu/cooking/5597-shokoladnje-maffinj,Кексы маффины с шоколадом внутри,"Вкусно, сладко, ароматно и очень шоколадно!",маффин,"['Яйца - 1 шт.', 'Сахар - 100 гр', 'Пшеничная мука - 250 гр', 'Кефир - 250 мл', 'Шоколад - 50 гр', 'Растительное масло - 80 гр', 'Какао - 2 стол.л.', 'Сода - 0.5 чайн.л.', 'Шоколад - 50 гр', 'Молоко - 25 гр', 'Сливочное масло - 25 гр', 'Фрукты - 200 гр']","['Белки 10%', 'Жиры 28%', 'Углеводы 62%']"
36,277 ккал,1 ч 20 мин,https://1000.menu/cooking/11549-maffiny-na-kefire-v-duxovke,Маффины на кефире в духовке,"Мягкие, аппетитные, тают во рту, праздник каждый день!",маффин,"['Пшеничная мука - 250 гр', 'Куриные яйца - 3 шт.', 'Сахар - 150 гр', 'Сливочное масло - 125 гр', 'Кефир - 250 мл', 'Разрыхлитель - 2 чайн.л.', 'Соль -  по вкусу', 'Сахарная пудра - 10 гр']","['Белки 11%', 'Жиры 23%', 'Углеводы 66%']"
37,323 ккал,45 мин,https://1000.menu/cooking/28869-tvorojnye-maffiny-v-silikonovyx-formochkax,Творожные маффины в духовке в силиконовых формочках,"Из обычных продуктов, аппетитные, в будни и праздники!",маффин,"['Пшеничная мука - 130 гр', 'Творог - 150 гр', 'Сливочное масло - 100 гр', 'Куриные яйца - 2 шт.', 'Разрыхлитель - 1 чайн.л.', 'Сахар - 100 гр', 'Соль - 2 гр']","['Белки 15%', 'Жиры 31%', 'Углеводы 54%']"
38,237 ккал,40 мин,https://1000.menu/cooking/27417-maffiny-s-syrom,Маффины с сыром,"Очень быстро, очень просто, безумно вкусно, на праздник!",маффин,"['Твёрдый сыр - 110 гр', 'Кефир - 125 мл', 'Куриные яйца - 1 шт.', 'Пшеничная мука - 150 гр', 'Разрыхлитель - 1 чайн.л.', 'Соль -  по вкусу', 'Укроп - 1 стол.л.']","['Белки 27%', 'Жиры 20%', 'Углеводы 53%']"
39,253 ккал,1 ч,https://1000.menu/cooking/12209-bananovye-maffiny,Банановые маффины,"Нежные, влажные, ароматные, так и хочется съесть ещё!",маффин,"['Бананы - 3 шт.', 'Пшеничная мука - 200 гр', 'Сахар - 150 гр', 'Сливочное масло - 100 гр', 'Яйца - 2 шт.', 'Разрыхлитель - 2 чайн.л.', 'Ванилин -  по вкусу', 'Соль -  по вкусу']","['Белки 8%', 'Жиры 18%', 'Углеводы 74%']"
40,320 ккал,15 мин,https://1000.menu/cooking/48216-maffiny-v-mikrovolnovke,Маффины в микроволновке,Очень вкусные и воздушные - супер выпечка на скорую руку!,маффин,"['Пшеничная мука - 4 стол.л.', 'Варенье - 4 стол.л.', 'Куриные яйца - 1 шт.', 'Ванилин - 0.25 чайн.л.', 'Соль -  по вкусу', 'Растительное масло - 1 стол.л.', 'Разрыхлитель - 0.5 чайн.л.']","['Белки 9%', 'Жиры 17%', 'Углеводы 74%']"
41,157 ккал,1 ч,https://1000.menu/cooking/11762-kurinye-maffiny-s-syrom,Куриные маффины с сыром,"Необычный пикантный вкус, на завтрак и перекус!",маффин,"['Пшеничная цельнозерновая мука - 200 гр', 'Куриное филе - 250 гр', 'Твёрдый сыр - 75 гр', 'Кефир - 200 мл', 'Яйца - 2 шт.', 'Лук - 1 шт.', 'Сода - 0.25 чайн.л.', 'Смесь трав -  по вкусу', 'Соль -  по вкусу']","['Белки 41%', 'Жиры 16%', 'Углеводы 44%']"
42,299 ккал,1 ч,https://1000.menu/cooking/16982-tykvennye-maffiny-s-tykvoi,Маффины из тыквы в духовке,"Яркие, аппетитные, ароматные, вкуснейшие!",маффин,"['Тыква - 300 гр', 'Пшеничная мука - 225 гр', 'Яйца - 3 шт.', 'Сахар - 190 гр', 'Растительное масло - 135 гр', 'Грецкие орехи - 50 гр', 'Разрыхлитель - 1 чайн.л.', 'Молотая корица -  по вкусу', 'Мускатный орех -  по вкусу', 'Соль -  по вкусу', 'Сливочный сыр - 3 стол.л.', 'Лимоны - 0.5 шт.', 'Сахарная пудра - 20 гр']","['Белки 11%', 'Жиры 32%', 'Углеводы 57%']"
43,316 ккал,40 мин,https://1000.menu/cooking/37156-maffiny-s-nachinkoi,Маффины с начинкой,"Пышные, мягкие, воздушные, с джемом и ягодами!",маффин,"['Пшеничная мука - 200 гр', 'Яйца - 2 шт.', 'Сахар - 100 гр', 'Вода - 100 мл', 'Растительное масло - 65 гр', 'Разрыхлитель - 7 гр', 'Джем - 6 чайн.л.', 'Ягоды - 2 стол.л.']","['Белки 10%', 'Жиры 21%', 'Углеводы 69%']"
44,311 ккал,35 мин,https://1000.menu/cooking/34713-morkovnye-maffiny-s-koricei,Морковные маффины с корицей,"Ароматные и полезные - никто не догадается, из чего они!",маффин,"['Яйца - 1 шт.', 'Морковь - 130 гр', 'Сахар - 70 гр', 'Растительное масло - 60 мл', 'Соль -  по вкусу', 'Молотая корица - 0.3 чайн.л.', 'Разрыхлитель - 0.5 чайн.л.', 'Пшеничная мука - 90 гр', 'Семена льна - 1 чайн.л.']","['Белки 9%', 'Жиры 30%', 'Углеводы 61%']"
45,313 ккал,1 ч,https://1000.menu/cooking/17582-tykvennye-maffiny-s-citrusovoi-glazuru,Тыквенные маффины,"Ароматная, сочная и вкусная выпечка на каждый день!",маффин,"['Тыква - 300 гр', 'Яйца - 3 шт.', 'Сахар - 200 гр', 'Пшеничная мука - 220 гр', 'Грецкие орехи - 80 гр', 'Растительное масло - 120 гр', 'Молотая корица - 0.3 чайн.л.', 'Сода - 0.5 чайн.л.']","['Белки 10%', 'Жиры 31%', 'Углеводы 59%']"
46,260 ккал,1 ч,https://1000.menu/cooking/14074-maffiny-s-vishnei,Маффины с вишней,"Вкусненькие маффины с вишенками, пальчики оближеш.",маффин,"['Пшеничная мука - 200 гр', 'Молоко - 175 мл', 'Вишня - 200 гр', 'Сливочное масло - 100 гр', 'Сахар - 150 гр', 'Яйца - 1 шт.', 'Разрыхлитель - 2 чайн.л.']","['Белки 8%', 'Жиры 17%', 'Углеводы 75%']"
47,321 ккал,45 мин,https://1000.menu/cooking/34592-maffiny-s-varenoi-sgushchenkoi,Маффины с вареной сгущенкой,Простой и понятный рецепт маффинов с начинкой!,маффин,"['Пшеничная мука - 220 гр', 'Куриные яйца - 1 шт.', 'Сахар - 70 гр', 'Молоко - 200 мл', 'Растительное масло - 100 мл', 'Соль - 4 гр', 'Разрыхлитель - 0.5 чайн.л.', 'Вареная сгущенка - 200 гр', 'Сахарная пудра - 5 гр']","['Белки 10%', 'Жиры 25%', 'Углеводы 65%']"
48,322 ккал,1 ч,https://1000.menu/cooking/47381-maffiny-s-djemom-v-bumajnyx-formochkax,Маффины в бумажных формочках с джемом,Потрясающие американские кексики! От них никто не откажется!,маффин,"['Пшеничная мука - 300 гр', 'Разрыхлитель - 1.5 чайн.л.', 'Сахар - 110 гр', 'Кефир - 175 мл', 'Яйца - 1 шт.', 'Растительное масло - 80 мл', 'Джем - 10 чайн.л.']","['Белки 9%', 'Жиры 19%', 'Углеводы 72%']"
